timestamp,value
timestamp,value
6500,17.31
6501,17.31
6502,16.84
6503,17.31
6504,17.31
6505,17.31
6506,17.31
6507,17.31
6508,17.31
6509,17.31
6510,17.31
6511,17.31
6512,17.31
6513,17.31
6514,17.78
6515,17.31
6516,17.31
6517,17.31
6518,17.31
6519,17.31
6520,17.31
6521,17.31
6522,17.31
6523,17.31
6524,17.31
6525,17.31
6526,17.31
6527,17.31
6528,17.31
6529,17.31
6530,17.31
6531,17.31
6532,17.31
6533,17.31
6534,17.31
6535,17.31
6536,17.31
6537,17.31
6538,17.31
6539,17.31
6540,17.31
6541,17.31
6542,17.31
6543,17.31
6544,17.31
6545,17.31
6546,17.31
6547,17.31
6548,17.31
6549,17.31
6550,17.31
6551,17.31
6552,17.31
6553,17.31
6554,17.31
6555,17.31
6556,17.31
6557,17.31
6558,17.31
6559,17.31
6560,16.84
6561,17.31
6562,17.31
6563,17.31
6564,17.31
6565,17.31
6566,17.31
6567,17.31
6568,17.31
6569,17.31
6570,17.31
6571,17.31
6572,17.78
6573,17.31
6574,17.31
6575,17.31
6576,17.31
6577,17.31
6578,17.31
6579,17.31
6580,17.31
6581,17.31
6582,17.31
6583,17.31
6584,17.31
6585,17.31
6586,17.31
6587,17.31
6588,17.31
6589,17.31
6590,17.31
6591,17.31
6592,17.31
6593,17.31
6594,17.31
6595,17.31
6596,17.31
6597,17.31
6598,17.31
6599,16.84
6600,17.31
6601,17.31
6602,17.31
6603,17.31
6604,17.31
6605,16.84
6606,17.31
6607,17.31
6608,17.31
6609,17.31
6610,17.31
6611,17.31
6612,17.31
6613,16.84
6614,16.84
6615,16.84
6616,16.84
6617,17.31
6618,17.31
6619,17.31
6620,17.31
6621,17.31
6622,17.31
6623,17.31
6624,16.84
6625,17.31
6626,17.31
6627,17.31
6628,17.31
6629,17.31
6630,17.31
6631,17.31
6632,17.31
6633,17.31
6634,17.31
6635,17.31
6636,17.31
6637,17.31
6638,17.31
6639,17.31
6640,17.31
6641,17.78
6642,17.31
6643,17.31
6644,17.31
6645,17.31
